model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs,Category
Mean Value,Y4492,92.05,63.01,21309.48,0,Micro
Random Walk,Y4492,8.61,8.07,2690.42,0,Micro
Arima,Y4492,2.74,2.75,921.93,0,Micro
Theta,Y4492,183.1,95.58,32262.32,0,Micro
Prophet,Y4492,71.42,52.59,17798.48,0,Micro
Last Value,Y4493,7.91,7.44,8493.69,0,Micro
Mean Value,Y4493,82.83,58.52,63772.08,0,Micro
Random Walk,Y4493,11.12,10.13,11167.81,0,Micro
Arima,Y4493,2.43,2.46,2093.03,0,Micro
Theta,Y4493,167.1,91.04,98872.37,0,Micro
Prophet,Y4493,67.57,50.44,55018.95,0,Micro
Last Value,Y4494,7.21,6.95,1976.1,0,Micro
Mean Value,Y4494,83.01,58.6,16200.37,0,Micro
Random Walk,Y4494,5.26,5.45,1465.33,0,Micro
Arima,Y4494,6.44,6.68,1205.23,0,Micro
Theta,Y4494,162.98,89.8,24734.2,0,Micro
Prophet,Y4494,66.64,49.91,13814.05,0,Micro
Last Value,Y4495,7.3,7.02,1971.56,0,Micro
Mean Value,Y4495,96.97,65.26,17772.86,0,Micro
Random Walk,Y4495,9.09,8.64,1864.64,0,Micro
Arima,Y4495,6.73,6.98,1136.47,0,Micro
Theta,Y4495,188.28,96.98,26337.59,0,Micro
Prophet,Y4495,71.74,52.74,14382.58,0,Micro
Last Value,Y4496,5.27,5.2,1593.6,0,Micro
Mean Value,Y4496,75.41,54.72,16619.21,0,Micro
Random Walk,Y4496,10.71,10.61,3296.84,0,Micro
Arima,Y4496,6.13,6.35,1244.77,0,Micro
Theta,Y4496,161.49,89.34,27056.3,0,Micro
Prophet,Y4496,61.39,46.92,14260.41,0,Micro
Last Value,Y4497,5.89,5.66,1435.3,0,Micro
Mean Value,Y4497,72.27,53.05,13037.46,0,Micro
Random Walk,Y4497,24.24,20.57,5219.02,0,Micro
Arima,Y4497,4.55,4.67,726.65,0,Micro
Theta,Y4497,151.09,86.06,21090.0,0,Micro
Prophet,Y4497,63.4,48.1,11825.19,0,Micro
Last Value,Y4498,8.62,8.07,3007.21,0,Micro
Mean Value,Y4498,92.44,63.17,22437.12,0,Micro
Random Walk,Y4498,9.9,9.98,2996.22,0,Micro
Arima,Y4498,2.75,2.8,687.46,0,Micro
Theta,Y4498,175.66,93.52,33110.43,0,Micro
Prophet,Y4498,72.63,53.22,18924.04,0,Micro
Last Value,Y4499,5.63,5.46,1271.4,0,Micro
Mean Value,Y4499,71.29,52.49,11835.26,0,Micro
Random Walk,Y4499,8.45,8.04,1872.12,0,Micro
Arima,Y4499,5.14,5.32,785.83,0,Micro
Theta,Y4499,160.69,89.09,20024.6,0,Micro
Prophet,Y4499,58.25,45.04,10165.72,0,Micro
Last Value,Y4500,10.28,9.78,4891.8,0,Micro
Mean Value,Y4500,86.92,60.47,29238.59,0,Micro
Random Walk,Y4500,16.97,15.46,6700.75,0,Micro
Arima,Y4500,8.71,8.47,4133.73,0,Micro
Theta,Y4500,163.47,89.95,43195.4,0,Micro
Prophet,Y4500,69.26,51.3,24864.77,0,Micro
Last Value,Y4501,9.37,9.01,4465.4,0,Micro
Mean Value,Y4501,85.87,59.97,28930.98,0,Micro
Random Walk,Y4501,6.36,6.63,2478.81,0,Micro
Arima,Y4501,11.05,10.35,5220.5,0,Micro
Theta,Y4501,166.92,90.98,43625.3,0,Micro
Prophet,Y4501,67.1,50.11,24231.66,0,Micro
Last Value,Y4502,12.5,11.62,4363.27,0,Micro
Mean Value,Y4502,93.25,63.46,22599.88,0,Micro
Random Walk,Y4502,16.69,15.14,4379.61,0,Micro
Arima,Y4502,13.43,12.31,4661.69,0,Micro
Theta,Y4502,174.05,93.06,32887.13,0,Micro
Prophet,Y4502,71.86,52.68,18829.06,0,Micro
Last Value,Y4503,15.8,14.3,11196.97,0,Micro
Mean Value,Y4503,95.86,64.64,47575.35,0,Micro
Random Walk,Y4503,9.3,8.82,3978.76,0,Micro
Arima,Y4503,16.32,14.72,11527.57,0,Micro
Theta,Y4503,179.68,94.65,69028.06,0,Micro
Prophet,Y4503,75.78,54.73,40448.99,0,Micro
Last Value,Y4504,8.91,8.58,6678.91,0,Micro
Mean Value,Y4504,83.01,58.56,44330.34,0,Micro
Random Walk,Y4504,12.19,11.36,8765.97,0,Micro
Arima,Y4504,5.24,5.47,3406.82,0,Micro
Theta,Y4504,179.46,94.59,71171.55,0,Micro
Prophet,Y4504,64.3,48.52,36824.63,0,Micro
Last Value,Y4505,6.52,6.22,2430.83,0,Micro
Mean Value,Y4505,85.47,59.85,22572.23,0,Micro
Random Walk,Y4505,5.08,4.92,1483.62,0,Micro
Arima,Y4505,2.95,2.92,1018.63,0,Micro
Theta,Y4505,177.3,93.98,35367.73,0,Micro
Prophet,Y4505,67.9,50.65,19115.3,0,Micro
Last Value,Y4506,8.53,8.04,5083.9,0,Micro
Mean Value,Y4506,66.69,49.96,30560.2,0,Micro
Random Walk,Y4506,30.49,24.73,15660.84,0,Micro
Arima,Y4506,1.71,1.68,1070.9,0,Micro
Theta,Y4506,161.09,89.22,54394.9,0,Micro
Prophet,Y4506,59.97,46.08,28196.87,0,Micro
Last Value,Y4507,6.19,5.92,6048.34,0,Micro
Mean Value,Y4507,85.85,60.02,58660.74,0,Micro
Random Walk,Y4507,10.01,10.37,8585.12,0,Micro
Arima,Y4507,4.93,5.08,3142.8,0,Micro
Theta,Y4507,177.25,93.97,91548.73,0,Micro
Prophet,Y4507,66.62,49.91,48839.63,0,Micro
Last Value,Y4508,4.79,4.62,1042.6,0,Micro
Mean Value,Y4508,70.99,52.36,11467.93,0,Micro
Random Walk,Y4508,1.64,1.62,184.49,0,Micro
Arima,Y4508,5.68,5.85,729.05,0,Micro
Theta,Y4508,147.81,84.99,18574.9,0,Micro
Prophet,Y4508,63.83,48.35,10592.44,0,Micro
Last Value,Y4509,9.34,8.71,1589.6,0,Micro
Mean Value,Y4509,70.36,51.97,9056.05,0,Micro
Random Walk,Y4509,24.33,19.93,3586.88,0,Micro
Arima,Y4509,3.14,3.09,485.87,0,Micro
Theta,Y4509,158.76,88.5,15360.1,0,Micro
Prophet,Y4509,63.73,48.24,8411.57,0,Micro
Last Value,Y4510,13.75,12.56,11246.92,0,Micro
Mean Value,Y4510,97.65,65.53,55650.37,0,Micro
Random Walk,Y4510,14.73,13.29,9096.45,0,Micro
Arima,Y4510,3.09,3.12,2577.21,0,Micro
Theta,Y4510,177.34,94.0,79409.46,0,Micro
Prophet,Y4510,80.86,57.47,48890.69,0,Micro
Last Value,Y4511,8.77,8.28,1817.3,0,Micro
Mean Value,Y4511,76.51,55.27,11682.78,0,Micro
Random Walk,Y4511,3.36,3.4,689.75,0,Micro
Arima,Y4511,2.77,2.82,513.78,0,Micro
Theta,Y4511,159.45,88.72,18683.6,0,Micro
Prophet,Y4511,67.22,50.24,10626.2,0,Micro
Last Value,Y4512,5.63,5.51,1570.0,0,Micro
Mean Value,Y4512,74.16,54.05,15185.44,0,Micro
Random Walk,Y4512,10.1,9.15,2673.21,0,Micro
Arima,Y4512,8.7,8.21,2383.54,0,Micro
Theta,Y4512,162.86,89.77,25147.9,0,Micro
Prophet,Y4512,62.4,47.51,13354.65,0,Micro
Last Value,Y4513,7.65,7.31,1768.36,0,Micro
Mean Value,Y4513,88.56,61.33,14353.26,0,Micro
Random Walk,Y4513,13.92,12.98,2970.73,0,Micro
Arima,Y4513,10.65,9.89,2413.61,0,Micro
Theta,Y4513,181.02,95.02,22168.91,0,Micro
Prophet,Y4513,69.58,51.56,12080.65,0,Micro
Last Value,Y4514,7.31,7.0,1804.2,0,Micro
Mean Value,Y4514,75.76,54.88,13699.74,0,Micro
Random Walk,Y4514,5.98,6.16,1514.71,0,Micro
Arima,Y4514,7.01,7.28,1070.96,0,Micro
Theta,Y4514,154.4,87.13,21669.0,0,Micro
Prophet,Y4514,68.28,50.84,12695.39,0,Micro
Last Value,Y4515,9.32,8.71,4655.27,0,Micro
Mean Value,Y4515,97.65,65.56,33306.04,0,Micro
Random Walk,Y4515,12.12,13.07,4173.96,0,Micro
Arima,Y4515,8.37,8.75,2618.7,0,Micro
Theta,Y4515,176.92,93.88,47531.51,0,Micro
Prophet,Y4515,79.16,56.64,28810.11,0,Micro
Last Value,Y4516,7.92,7.51,1513.1,0,Micro
Mean Value,Y4516,80.74,57.49,11275.3,0,Micro
Random Walk,Y4516,25.59,21.72,4371.82,0,Micro
Arima,Y4516,5.25,5.4,590.0,0,Micro
Theta,Y4516,147.79,84.97,16624.4,0,Micro
Prophet,Y4516,70.59,52.14,10229.4,0,Micro
Last Value,Y4517,9.74,9.09,1630.0,0,Micro
Mean Value,Y4517,15.35,14.08,2482.0,0,Micro
Random Walk,Y4517,8.4,7.87,1265.85,0,Micro
Arima,Y4517,18.5,16.66,2940.78,0,Micro
Theta,Y4517,16.72,15.36,2680.0,0,Micro
Prophet,Y4517,4.03,4.09,668.63,0,Micro
Last Value,Y4518,11.07,10.33,2314.8,0,Micro
Mean Value,Y4518,78.61,56.38,12265.73,0,Micro
Random Walk,Y4518,8.12,7.41,1573.43,0,Micro
Arima,Y4518,3.2,3.12,530.5,0,Micro
Theta,Y4518,157.66,88.16,19119.3,0,Micro
Prophet,Y4518,63.59,48.19,10493.7,0,Micro
Last Value,Y4519,4.85,4.66,1470.0,0,Micro
Mean Value,Y4519,11.12,10.45,3231.0,0,Micro
Random Walk,Y4519,4.11,4.0,1147.35,0,Micro
Arima,Y4519,9.28,8.69,2719.78,0,Micro
Theta,Y4519,17.57,16.1,4860.0,0,Micro
Prophet,Y4519,3.69,3.7,1123.8,0,Micro
Last Value,Y4520,5.19,4.97,619.0,0,Micro
Mean Value,Y4520,17.18,15.73,1905.7,0,Micro
Random Walk,Y4520,5.57,5.24,628.31,0,Micro
Arima,Y4520,13.94,12.79,1569.37,0,Micro
Theta,Y4520,29.78,25.91,3106.0,0,Micro
Prophet,Y4520,5.69,5.88,505.48,0,Micro
Last Value,Y4521,9.63,9.12,730.0,0,Micro
Mean Value,Y4521,8.12,7.79,620.0,0,Micro
Random Walk,Y4521,8.48,8.08,646.33,0,Micro
Arima,Y4521,10.07,9.49,761.4,0,Micro
Theta,Y4521,18.05,16.13,1300.0,0,Micro
Prophet,Y4521,4.71,4.79,349.82,0,Micro
Last Value,Y4522,5.24,5.02,1090.0,0,Micro
Mean Value,Y4522,8.55,8.1,1735.0,0,Micro
Random Walk,Y4522,6.74,6.43,1336.64,0,Micro
Arima,Y4522,11.49,10.7,2290.16,0,Micro
Theta,Y4522,17.28,15.87,3340.0,0,Micro
Prophet,Y4522,5.52,5.73,1013.94,0,Micro
Last Value,Y4523,13.6,12.57,3849.3,0,Micro
Mean Value,Y4523,78.93,56.54,16899.17,0,Micro
Random Walk,Y4523,10.83,10.1,2571.35,0,Micro
Arima,Y4523,23.86,20.94,6393.59,0,Micro
Theta,Y4523,159.03,88.59,26394.3,0,Micro
Prophet,Y4523,63.44,48.1,14390.83,0,Micro
Last Value,Y4524,3.23,3.16,230.0,0,Micro
Mean Value,Y4524,11.97,11.25,808.0,0,Micro
Random Walk,Y4524,1.65,1.64,94.77,0,Micro
Arima,Y4524,3.79,3.68,268.9,0,Micro
Theta,Y4524,18.89,17.13,1231.0,0,Micro
Prophet,Y4524,4.69,4.81,243.48,0,Micro
Last Value,Y4525,3.69,3.58,2260.0,0,Micro
Mean Value,Y4525,15.95,14.71,9083.0,0,Micro
Random Walk,Y4525,3.2,3.11,1877.1,0,Micro
Arima,Y4525,3.04,2.98,1857.25,0,Micro
Theta,Y4525,27.23,23.8,14690.0,0,Micro
Prophet,Y4525,5.78,5.96,2413.41,0,Micro
Last Value,Y4526,7.84,7.48,4560.0,0,Micro
Mean Value,Y4526,17.9,16.38,9879.0,0,Micro
Random Walk,Y4526,6.95,6.66,3950.23,0,Micro
Arima,Y4526,7.48,7.15,4359.85,0,Micro
Theta,Y4526,13.29,12.44,7500.0,0,Micro
Prophet,Y4526,1.49,1.51,674.4,0,Micro
Last Value,Y4527,3.67,3.55,407.0,0,Micro
Mean Value,Y4527,4.05,4.14,453.8,0,Micro
Random Walk,Y4527,2.3,2.25,242.31,0,Micro
Arima,Y4527,10.67,10.06,1132.77,0,Micro
Theta,Y4527,2.95,2.96,329.0,0,Micro
Prophet,Y4527,3.72,3.72,415.57,0,Micro
Last Value,Y4528,5.91,6.14,760.0,0,Micro
Mean Value,Y4528,8.27,8.67,1078.0,0,Micro
Random Walk,Y4528,5.71,5.95,733.89,0,Micro
Arima,Y4528,5.52,5.72,707.54,0,Micro
Theta,Y4528,17.33,19.09,2380.0,0,Micro
Prophet,Y4528,5.04,5.22,644.89,0,Micro
Last Value,Y4529,3.9,4.0,932.7,0,Micro
Mean Value,Y4529,9.62,9.14,2190.13,0,Micro
Random Walk,Y4529,6.24,6.52,1332.22,0,Micro
Arima,Y4529,4.14,4.26,992.13,0,Micro
Theta,Y4529,23.36,20.8,4966.4,0,Micro
Prophet,Y4529,10.69,11.37,2682.47,0,Micro
Last Value,Y4530,7.52,7.86,473.8,0,Micro
Mean Value,Y4530,2.43,2.4,148.8,0,Micro
Random Walk,Y4530,10.18,10.8,652.2,0,Micro
Arima,Y4530,8.2,8.6,518.38,0,Micro
Theta,Y4530,7.08,6.77,414.7,0,Micro
Prophet,Y4530,10.38,11.04,665.86,0,Micro
Last Value,Y4531,2.87,2.86,195.0,0,Micro
Mean Value,Y4531,15.46,14.31,976.33,0,Micro
Random Walk,Y4531,4.22,3.99,280.8,0,Micro
Arima,Y4531,4.1,4.21,280.6,0,Micro
Theta,Y4531,21.27,19.2,1304.0,0,Micro
Prophet,Y4531,4.45,4.58,174.88,0,Micro
Last Value,Y4532,1.53,1.53,107.0,0,Micro
Mean Value,Y4532,11.63,10.98,770.0,0,Micro
Random Walk,Y4532,1.34,1.35,63.07,0,Micro
Arima,Y4532,4.26,4.37,238.42,0,Micro
Theta,Y4532,18.39,16.78,1177.0,0,Micro
Prophet,Y4532,6.76,7.05,444.73,0,Micro
Last Value,Y4533,10.77,11.5,4740.0,0,Micro
Mean Value,Y4533,7.1,6.77,2926.67,0,Micro
Random Walk,Y4533,16.32,18.05,7450.91,0,Micro
Arima,Y4533,14.96,16.34,6757.48,0,Micro
Theta,Y4533,7.61,7.24,3110.0,0,Micro
Prophet,Y4533,7.93,8.19,3422.24,0,Micro
Last Value,Y4534,19.58,22.28,3170.0,0,Micro
Mean Value,Y4534,21.49,24.66,3523.33,0,Micro
Random Walk,Y4534,21.14,24.32,3461.36,0,Micro
Arima,Y4534,19.63,22.34,3180.04,0,Micro
Theta,Y4534,6.2,5.88,840.0,0,Micro
Prophet,Y4534,25.1,29.4,4216.61,0,Micro
Last Value,Y4535,6.38,6.64,718.0,0,Micro
Mean Value,Y4535,4.66,4.79,518.0,0,Micro
Random Walk,Y4535,5.64,5.83,624.24,0,Micro
Arima,Y4535,6.08,6.31,682.13,0,Micro
Theta,Y4535,2.66,2.67,273.0,0,Micro
Prophet,Y4535,5.96,6.19,637.71,0,Micro
Last Value,Y4536,5.21,5.38,400.0,0,Micro
Mean Value,Y4536,11.75,12.56,940.0,0,Micro
Random Walk,Y4536,7.05,7.36,539.21,0,Micro
Arima,Y4536,6.48,6.76,502.14,0,Micro
Theta,Y4536,30.09,35.48,2680.0,0,Micro
Prophet,Y4536,20.65,18.64,1413.84,0,Micro
Last Value,Y4537,20.89,23.89,3300.0,0,Micro
Mean Value,Y4537,29.6,35.37,4946.67,0,Micro
Random Walk,Y4537,21.53,24.89,3424.55,0,Micro
Arima,Y4537,21.93,25.2,3488.2,0,Micro
Theta,Y4537,36.84,46.45,6480.0,0,Micro
Prophet,Y4537,23.75,27.5,3824.45,0,Micro
Last Value,Y4538,16.64,18.22,2322.0,0,Micro
Mean Value,Y4538,9.78,10.35,1312.67,0,Micro
Random Walk,Y4538,17.44,19.2,2445.24,0,Micro
Arima,Y4538,8.41,8.81,1057.55,0,Micro
Theta,Y4538,7.39,7.56,617.0,0,Micro
Prophet,Y4538,17.93,19.83,2522.47,0,Micro
Last Value,Y4539,6.45,6.73,322.0,0,Micro
Mean Value,Y4539,27.57,32.07,1557.0,0,Micro
Random Walk,Y4539,5.84,6.07,290.44,0,Micro
Arima,Y4539,6.45,6.04,302.67,0,Micro
Theta,Y4539,20.77,23.25,1129.0,0,Micro
Prophet,Y4539,29.7,34.99,1698.74,0,Micro
Last Value,Y4540,5.87,5.69,870.0,0,Micro
Mean Value,Y4540,20.5,18.49,2793.0,0,Micro
Random Walk,Y4540,10.88,10.22,1342.43,0,Micro
Arima,Y4540,10.35,9.61,1486.97,0,Micro
Theta,Y4540,30.8,26.58,3930.0,0,Micro
Prophet,Y4540,13.01,13.94,2062.28,0,Micro
Last Value,Y4541,4.21,4.07,1090.0,0,Micro
Mean Value,Y4541,8.77,8.35,2206.0,0,Micro
Random Walk,Y4541,7.58,7.24,1916.3,0,Micro
Arima,Y4541,11.32,10.61,2807.56,0,Micro
Theta,Y4541,9.19,8.58,2010.0,0,Micro
Prophet,Y4541,4.88,5.04,1196.03,0,Micro
Last Value,Y4542,4.73,4.53,2910.0,0,Micro
Mean Value,Y4542,17.24,15.8,9856.0,0,Micro
Random Walk,Y4542,16.87,15.17,9542.93,0,Micro
Arima,Y4542,12.53,11.59,7319.54,0,Micro
Theta,Y4542,30.58,26.52,16360.0,0,Micro
Prophet,Y4542,5.33,5.51,2514.95,0,Micro
Last Value,Y4543,7.21,6.86,1430.0,0,Micro
Mean Value,Y4543,14.67,13.58,2789.0,0,Micro
Random Walk,Y4543,8.14,7.66,1603.3,0,Micro
Arima,Y4543,12.46,11.56,2395.16,0,Micro
Theta,Y4543,32.74,28.0,5720.0,0,Micro
Prophet,Y4543,6.91,7.19,1163.94,0,Micro
Last Value,Y4544,7.19,6.87,1590.0,0,Micro
Mean Value,Y4544,15.14,14.01,3204.0,0,Micro
Random Walk,Y4544,3.65,3.57,635.33,0,Micro
Arima,Y4544,11.43,10.7,2464.91,0,Micro
Theta,Y4544,25.96,22.94,5220.0,0,Micro
Prophet,Y4544,5.88,6.08,1085.61,0,Micro
Last Value,Y4545,3.51,3.45,1010.0,0,Micro
Mean Value,Y4545,3.51,3.47,1010.0,0,Micro
Random Walk,Y4545,5.39,5.16,1382.85,0,Micro
Arima,Y4545,11.64,10.84,3171.38,0,Micro
Theta,Y4545,2.47,2.4,670.0,0,Micro
Prophet,Y4545,7.99,8.4,2365.6,0,Micro
Last Value,Y4546,3.76,3.68,970.0,0,Micro
Mean Value,Y4546,7.38,7.04,1849.0,0,Micro
Random Walk,Y4546,9.63,8.96,2368.21,0,Micro
Arima,Y4546,7.94,7.53,1982.93,0,Micro
Theta,Y4546,8.5,7.96,1690.0,0,Micro
Prophet,Y4546,4.34,4.43,1120.6,0,Micro
Last Value,Y4547,8.39,7.92,1596.0,0,Micro
Mean Value,Y4547,64.56,48.76,9516.25,0,Micro
Random Walk,Y4547,31.76,25.97,5215.83,0,Micro
Arima,Y4547,19.95,17.74,3542.15,0,Micro
Theta,Y4547,144.79,83.98,16328.1,0,Micro
Prophet,Y4547,56.44,43.96,8584.98,0,Micro
Last Value,Y4548,10.45,9.61,3370.0,0,Micro
Mean Value,Y4548,34.67,29.32,9772.0,0,Micro
Random Walk,Y4548,5.59,5.37,1650.92,0,Micro
Arima,Y4548,25.02,21.72,7381.32,0,Micro
Theta,Y4548,78.98,56.44,18610.0,0,Micro
Prophet,Y4548,12.2,13.09,3024.56,0,Micro
Last Value,Y4549,9.15,8.49,1740.0,0,Micro
Mean Value,Y4549,33.21,28.29,5525.0,0,Micro
Random Walk,Y4549,3.24,3.16,533.92,0,Micro
Arima,Y4549,26.77,23.1,4582.81,0,Micro
Theta,Y4549,84.79,59.47,11480.0,0,Micro
Prophet,Y4549,19.07,21.13,3927.62,0,Micro
Last Value,Y4550,15.39,17.06,2610.0,0,Micro
Mean Value,Y4550,19.22,17.3,2850.0,0,Micro
Random Walk,Y4550,25.91,31.24,4763.33,0,Micro
Arima,Y4550,15.6,17.31,2650.19,0,Micro
Theta,Y4550,67.22,50.24,8010.0,0,Micro
Prophet,Y4550,13.7,14.97,2295.3,0,Micro
Last Value,Y4551,16.08,14.18,7390.0,0,Micro
Mean Value,Y4551,51.19,40.36,19443.0,0,Micro
Random Walk,Y4551,19.07,16.36,8562.11,0,Micro
Arima,Y4551,27.0,22.87,11543.47,0,Micro
Theta,Y4551,74.75,54.39,25470.0,0,Micro
Prophet,Y4551,7.23,7.25,3109.42,0,Micro
Last Value,Y4552,7.38,7.07,570.0,0,Micro
Mean Value,Y4552,3.95,3.94,310.0,0,Micro
Random Walk,Y4552,7.5,7.19,574.08,0,Micro
Arima,Y4552,23.68,20.93,1674.71,0,Micro
Theta,Y4552,14.13,13.1,1050.0,0,Micro
Prophet,Y4552,16.78,18.47,1437.45,0,Micro
Last Value,Y4553,4.06,3.93,480.0,0,Micro
Mean Value,Y4553,32.63,28.03,3354.0,0,Micro
Random Walk,Y4553,3.8,3.68,449.54,0,Micro
Arima,Y4553,1.54,1.51,183.68,0,Micro
Theta,Y4553,49.9,39.83,4770.0,0,Micro
Prophet,Y4553,11.38,12.14,1190.33,0,Micro
Last Value,Y4554,11.27,11.97,2570.0,0,Micro
Mean Value,Y4554,5.72,5.92,1265.0,0,Micro
Random Walk,Y4554,11.5,12.29,2629.28,0,Micro
Arima,Y4554,6.64,6.89,1474.57,0,Micro
Theta,Y4554,7.23,7.25,1450.0,0,Micro
Prophet,Y4554,33.37,40.13,8644.4,0,Micro
Last Value,Y4555,3.96,3.83,2280.0,0,Micro
Mean Value,Y4555,4.13,3.98,2375.0,0,Micro
Random Walk,Y4555,3.73,3.64,1848.09,0,Micro
Arima,Y4555,11.03,10.33,6059.18,0,Micro
Theta,Y4555,20.29,18.25,10640.0,0,Micro
Prophet,Y4555,3.88,3.97,2244.88,0,Micro
Last Value,Y4556,4.47,4.3,2290.0,0,Micro
Mean Value,Y4556,8.78,8.35,4372.0,0,Micro
Random Walk,Y4556,3.26,3.15,1571.86,0,Micro
Arima,Y4556,12.21,11.37,5960.08,0,Micro
Theta,Y4556,21.47,19.34,10030.0,0,Micro
Prophet,Y4556,3.7,3.67,1834.31,0,Micro
Last Value,Y4557,6.14,5.89,900.0,0,Micro
Mean Value,Y4557,6.12,5.87,897.0,0,Micro
Random Walk,Y4557,7.86,7.46,1139.39,0,Micro
Arima,Y4557,14.44,13.34,2020.62,0,Micro
Theta,Y4557,20.1,18.03,2730.0,0,Micro
Prophet,Y4557,7.94,8.3,1226.59,0,Micro
Last Value,Y4558,4.81,4.65,596.0,0,Micro
Mean Value,Y4558,6.2,5.95,761.1,0,Micro
Random Walk,Y4558,6.2,5.93,725.35,0,Micro
Arima,Y4558,16.73,15.24,1937.16,0,Micro
Theta,Y4558,16.45,15.17,1911.0,0,Micro
Prophet,Y4558,11.53,12.26,1527.34,0,Micro
Last Value,Y4559,6.32,6.08,800.0,0,Micro
Mean Value,Y4559,3.57,3.51,460.0,0,Micro
Random Walk,Y4559,1.45,1.44,187.0,0,Micro
Arima,Y4559,10.93,10.32,1350.25,0,Micro
Theta,Y4559,10.9,10.32,1340.0,0,Micro
Prophet,Y4559,15.97,17.38,2250.42,0,Micro
Last Value,Y4560,5.52,5.31,455.0,0,Micro
Mean Value,Y4560,6.39,6.11,522.9,0,Micro
Random Walk,Y4560,2.59,2.54,162.67,0,Micro
Arima,Y4560,18.46,16.64,1410.95,0,Micro
Theta,Y4560,19.03,17.29,1455.0,0,Micro
Prophet,Y4560,11.43,12.15,1004.88,0,Micro
Last Value,Y4561,2.03,2.05,330.0,0,Micro
Mean Value,Y4561,3.75,3.85,616.0,0,Micro
Random Walk,Y4561,3.3,3.37,409.14,0,Micro
Arima,Y4561,1.94,1.95,294.3,0,Micro
Theta,Y4561,19.1,21.94,3260.0,0,Micro
Prophet,Y4561,3.89,4.01,640.01,0,Micro
Last Value,Y4562,20.04,17.85,2200.0,0,Micro
Mean Value,Y4562,18.14,16.26,2014.0,0,Micro
Random Walk,Y4562,14.6,13.21,1652.72,0,Micro
Arima,Y4562,19.8,17.65,2176.7,0,Micro
Theta,Y4562,14.62,13.56,970.0,0,Micro
Prophet,Y4562,7.9,7.77,855.37,0,Micro
Last Value,Y4563,5.96,5.75,2540.0,0,Micro
Mean Value,Y4563,11.17,12.03,4978.0,0,Micro
Random Walk,Y4563,5.77,5.51,2401.61,0,Micro
Arima,Y4563,15.04,13.81,6045.67,0,Micro
Theta,Y4563,11.43,12.44,5110.0,0,Micro
Prophet,Y4563,9.18,8.83,3857.8,0,Micro
Last Value,Y4564,9.35,9.93,1940.0,0,Micro
Mean Value,Y4564,23.2,26.4,5230.0,0,Micro
Random Walk,Y4564,12.85,14.01,2734.57,0,Micro
Arima,Y4564,7.91,8.35,1625.18,0,Micro
Theta,Y4564,19.88,22.25,4400.0,0,Micro
Prophet,Y4564,19.09,21.29,4204.5,0,Micro
Last Value,Y4565,7.75,8.17,1310.0,0,Micro
Mean Value,Y4565,4.32,4.39,712.22,0,Micro
Random Walk,Y4565,9.09,9.65,1550.99,0,Micro
Arima,Y4565,9.43,10.02,1611.71,0,Micro
Theta,Y4565,4.08,4.0,660.0,0,Micro
Prophet,Y4565,7.68,8.12,1297.67,0,Micro
Last Value,Y4566,4.25,4.12,500.0,0,Micro
Mean Value,Y4566,4.01,4.1,475.1,0,Micro
Random Walk,Y4566,5.48,5.25,635.73,0,Micro
Arima,Y4566,13.35,12.36,1484.02,0,Micro
Theta,Y4566,7.26,6.98,841.0,0,Micro
Prophet,Y4566,4.23,4.37,501.05,0,Micro
Last Value,Y4567,2.88,2.94,770.0,0,Micro
Mean Value,Y4567,7.92,7.59,2040.0,0,Micro
Random Walk,Y4567,3.38,3.46,780.58,0,Micro
Arima,Y4567,4.05,4.17,977.52,0,Micro
Theta,Y4567,18.15,16.46,4420.0,0,Micro
Prophet,Y4567,6.39,6.65,1515.55,0,Micro
Last Value,Y4568,3.94,3.84,330.0,0,Micro
Mean Value,Y4568,5.96,5.77,493.33,0,Micro
Random Walk,Y4568,1.56,1.54,116.16,0,Micro
Arima,Y4568,4.12,4.02,344.9,0,Micro
Theta,Y4568,13.66,15.05,1110.0,0,Micro
Prophet,Y4568,1.8,1.77,119.42,0,Micro
Last Value,Y4569,15.18,16.65,2160.0,0,Micro
Mean Value,Y4569,12.08,13.05,1684.44,0,Micro
Random Walk,Y4569,15.43,16.93,2200.71,0,Micro
Arima,Y4569,17.62,19.59,2546.03,0,Micro
Theta,Y4569,16.62,14.44,1910.0,0,Micro
Prophet,Y4569,14.82,16.29,2105.45,0,Micro
Last Value,Y4570,17.14,18.87,1005.0,0,Micro
Mean Value,Y4570,18.95,21.07,1123.33,0,Micro
Random Walk,Y4570,15.32,16.68,889.73,0,Micro
Arima,Y4570,15.37,16.76,892.41,0,Micro
Theta,Y4570,9.35,9.52,385.0,0,Micro
Prophet,Y4570,23.27,26.52,1414.78,0,Micro
Last Value,Y4571,21.85,19.35,8591.0,0,Micro
Mean Value,Y4571,87.94,60.97,26191.12,0,Micro
Random Walk,Y4571,24.09,20.94,9347.45,0,Micro
Arima,Y4571,25.23,22.06,9743.27,0,Micro
Theta,Y4571,170.76,92.11,39337.1,0,Micro
Prophet,Y4571,66.69,49.87,21484.85,0,Micro
Last Value,Y4572,5.14,4.95,405.0,0,Micro
Mean Value,Y4572,3.62,3.72,288.9,0,Micro
Random Walk,Y4572,4.73,4.58,366.46,0,Micro
Arima,Y4572,19.64,17.75,1430.9,0,Micro
Theta,Y4572,4.42,4.31,350.0,0,Micro
Prophet,Y4572,5.9,6.14,471.65,0,Micro
