model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs,Category
Theta,Y17,49.75,39.82,9645.6,0,Macro
Prophet,Y17,8.11,8.5,1677.99,0,Macro
Last Value,Y18,11.18,10.56,2263.6,0,Macro
Mean Value,Y18,23.46,20.96,4477.88,0,Macro
Random Walk,Y18,9.37,8.84,1909.1,0,Macro
Arima,Y18,21.09,18.98,4065.32,0,Macro
Theta,Y18,41.13,34.1,7259.2,0,Macro
Prophet,Y18,4.13,4.24,506.84,0,Macro
Last Value,Y19,19.3,21.58,3152.3,0,Macro
Mean Value,Y19,64.48,48.7,7272.35,0,Macro
Random Walk,Y19,27.62,32.17,4764.44,0,Macro
Arima,Y19,39.97,50.08,7407.54,0,Macro
Theta,Y19,64.32,48.35,7146.79,0,Macro
Prophet,Y19,19.53,17.77,2646.45,0,Macro
Last Value,Y20,11.8,11.06,4902.08,0,Macro
Mean Value,Y20,31.67,27.27,11959.59,0,Macro
Random Walk,Y20,14.07,12.99,5768.96,0,Macro
Arima,Y20,5.5,5.32,1781.42,0,Macro
Theta,Y20,37.43,31.44,13670.66,0,Macro
Prophet,Y20,10.68,10.11,3936.29,0,Macro
Last Value,Y21,8.84,9.9,4504.4,0,Macro
Mean Value,Y21,31.86,27.03,14695.28,0,Macro
Random Walk,Y21,12.8,14.27,6712.77,0,Macro
Arima,Y21,22.52,25.99,13046.84,0,Macro
Theta,Y21,40.16,33.11,17227.7,0,Macro
Prophet,Y21,8.42,8.53,4285.02,0,Macro
Last Value,Y22,15.55,17.06,3836.99,0,Macro
Mean Value,Y22,34.58,29.4,6801.04,0,Macro
Random Walk,Y22,25.46,29.2,6724.12,0,Macro
Arima,Y22,47.68,62.73,14456.74,0,Macro
Theta,Y22,40.81,33.74,7692.61,0,Macro
Prophet,Y22,3.08,3.01,615.24,0,Macro
Last Value,Y23,28.14,32.82,14751.2,0,Macro
Mean Value,Y23,7.74,8.11,3611.16,0,Macro
Random Walk,Y23,31.08,37.04,16613.61,0,Macro
Arima,Y23,29.54,34.74,15618.61,0,Macro
Theta,Y23,6.48,6.73,2309.3,0,Macro
Prophet,Y23,2.58,2.6,877.21,0,Macro
Last Value,Y24,16.08,17.56,8161.21,0,Macro
Mean Value,Y24,15.34,14.21,6695.51,0,Macro
Random Walk,Y24,20.84,23.36,10910.15,0,Macro
Arima,Y24,26.48,30.54,14271.02,0,Macro
Theta,Y24,8.03,7.7,2469.31,0,Macro
Prophet,Y24,8.63,8.25,3896.57,0,Macro
Last Value,Y25,3.22,3.24,461.83,0,Macro
Mean Value,Y25,35.07,29.8,4311.04,0,Macro
Random Walk,Y25,5.1,5.24,746.63,0,Macro
Arima,Y25,18.15,20.31,2917.85,0,Macro
Theta,Y25,38.63,32.19,4647.88,0,Macro
Prophet,Y25,13.73,12.79,1857.51,0,Macro
Last Value,Y26,21.85,24.62,8859.3,0,Macro
Mean Value,Y26,24.18,21.53,7837.39,0,Macro
Random Walk,Y26,11.9,13.33,4674.62,0,Macro
Arima,Y26,47.35,62.32,22667.55,0,Macro
Theta,Y26,19.7,17.45,5525.15,0,Macro
Prophet,Y26,1.82,1.8,636.76,0,Macro
Last Value,Y27,14.36,15.52,1440,0,Macro
Mean Value,Y27,24.81,22.05,2062.14,0,Macro
Random Walk,Y27,12.15,13.06,1208.47,0,Macro
Arima,Y27,43.54,56.36,5275.2,0,Macro
Theta,Y27,26.46,23.24,2163.97,0,Macro
Prophet,Y27,6.31,6.1,459.87,0,Macro
Last Value,Y28,19.84,22.06,1898.13,0,Macro
Mean Value,Y28,17.02,15.67,1355.93,0,Macro
Random Walk,Y28,24.32,27.71,2391.4,0,Macro
Arima,Y28,55.05,77.05,6677.39,0,Macro
Theta,Y28,19.85,17.95,1542.96,0,Macro
Prophet,Y28,1.18,1.18,102.22,0,Macro
Last Value,Y29,7.97,8.3,1929.86,0,Macro
Mean Value,Y29,6.97,6.73,1566.1,0,Macro
Random Walk,Y29,10.61,11.23,2609.35,0,Macro
Arima,Y29,27.14,31.75,7375.78,0,Macro
Theta,Y29,8.06,7.7,1794.29,0,Macro
Prophet,Y29,7.36,7.69,1784.97,0,Macro
Last Value,Y30,1.53,1.53,405.92,0,Macro
Mean Value,Y30,22.62,20.31,5404.42,0,Macro
Random Walk,Y30,1.67,1.66,305.14,0,Macro
Arima,Y30,17.97,19.94,5329.27,0,Macro
Theta,Y30,37.97,31.91,8476.57,0,Macro
Prophet,Y30,3.79,3.88,699.39,0,Macro
Last Value,Y31,3.84,3.91,851.39,0,Macro
Mean Value,Y31,3.32,3.26,711.75,0,Macro
Random Walk,Y31,4.82,4.94,1076.32,0,Macro
Arima,Y31,1.26,1.27,269.31,0,Macro
Theta,Y31,2.24,2.22,433.21,0,Macro
Prophet,Y31,0.73,0.73,120.95,0,Macro
Last Value,Y32,6.32,6.53,1983.87,0,Macro
Mean Value,Y32,7.51,7.23,2197.98,0,Macro
