model,method_type,time_elapsed_sec,complexity,rmse,nme,mae,mse,mape,smape,grubbs,shape_similarity
predict_last_value,Naive Methods,6.67572021484375e-05,0,637.47,0.08,532.25,406362.68,0.08,0.08,0,6919.3
predict_mean,Naive Methods,3.981590270996094e-05,0,968.06,0.13,897.34,937141.41,0.15,0.14,0,11665.41
predict_random_walk,Naive Methods,8.559226989746094e-05,0,1224.96,0.16,1092.29,1500516.83,0.19,0.17,0,14199.82
predict_arima,Traditional Methods,0.031006813049316406,3,655.86,0.08,550.94,430157.43,0.09,0.08,0,7162.18
predict_theta,Traditional Methods,0.00013303756713867188,1,1989.0,0.28,1939.17,3956105.63,0.4,0.33,0,25209.2
predict_ets,Traditional Methods,0.05211782455444336,3,404.98,0.05,368.43,164006.03,0.05,0.05,0,4295.0
